-0.01, 0.00213
-0.04, 0.00351
-0.01, 0.00490
-0.01, 0.00628
-0.01, 0.00768
0.07, 0.00905
-0.01, 0.01043
-0.01, 0.01182
0.17, 0.01319
-0.01, 0.01459
-0.04, 0.01597
0.17, 0.01735
-0.04, 0.01874
-0.04, 0.02013
0.22, 0.02151
-0.04, 0.02290
-0.01, 0.02429
0.20, 0.02566
-0.01, 0.02705
-0.04, 0.02844
0.22, 0.02982
0.54, 0.03120
-0.07, 0.03257
0.22, 0.03396
1.04, 0.03534
-0.01, 0.03672
0.22, 0.03810
1.39, 0.03948
-0.04, 0.04087
0.22, 0.04225
1.31, 0.04363
-0.04, 0.04501
0.15, 0.04640
1.18, 0.04778
-0.04, 0.04917
0.09, 0.05055
1.04, 0.05194
-0.01, 0.05333
0.01, 0.05472
0.89, 0.05611
-0.04, 0.05750
-0.04, 0.05888
0.89, 0.06027
0.12, 0.06165
-0.04, 0.06304
0.73, 0.06441
0.67, 0.06581
-0.04, 0.06720
0.52, 0.06857
1.10, 0.06996
-0.04, 0.07135
0.46, 0.07274
1.76, 0.07412
-0.01, 0.07551
0.33, 0.07689
1.76, 0.07828
-0.01, 0.07966
0.12, 0.08105
2.26, 0.08243
-0.04, 0.08380
0.04, 0.08519
1.84, 0.08656
-0.04, 0.08795
-0.01, 0.08935
1.60, 0.09073
-0.04, 0.09212
-0.04, 0.09351
1.36, 0.09489
0.38, 0.09629
-0.04, 0.09767
1.02, 0.09905
0.94, 0.10043
-0.01, 0.10182
0.65, 0.10320
1.31, 0.10459
-0.04, 0.10598
0.46, 0.10736
1.68, 0.10876
-0.04, 0.11015
0.15, 0.11152
1.78, 0.11291
-0.04, 0.11430
0.01, 0.11568
1.94, 0.11707
-0.04, 0.11845
-0.04, 0.11984
1.99, 0.12122
-0.04, 0.12261
-0.01, 0.12401
1.94, 0.12539
0.28, 0.12678
-0.04, 0.12818
1.94, 0.12956
0.65, 0.13095
-0.04, 0.13234
1.36, 0.13372
0.91, 0.13510
-0.04, 0.13649
0.75, 0.13788
1.31, 0.13927
-0.04, 0.14066
0.70, 0.14204
1.52, 0.14342
-0.01, 0.14481
0.28, 0.14619
1.44, 0.14758
-0.04, 0.14897
-0.01, 0.15036
1.81, 0.15175
-0.04, 0.15313
-0.01, 0.15452
1.89, 0.15590
0.20, 0.15729
-0.04, 0.15867
1.62, 0.16005
0.41, 0.16142
-0.01, 0.16281
1.60, 0.16420
